Title,Processors,Ram,Operating System,Display,Price,Review
Lenovo IdeaPad 1 Intel Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) 11IGL05 Thin and Light La...,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 11,29.46 cm (11.6 Inch) Display,"₹24,999",4.3
HP 247 G8 Athlon Dual Core AMD Athlon™ Silver 3050U - (4 GB/256 GB SSD/DOS) 247 G8 Notebook,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,DOS,35.56 cm (14 inch) Display,"₹24,990",3.6
Infinix INBook X1 Neo Series Celeron Quad Core - (8 GB/256 GB SSD/Windows 11 Home) XL22 Thin and Light...,Intel Celeron Quad Core Processor,8 GB LPDDR4X RAM,64 bit Windows 11,35.56 cm (14 inch) Display,"₹24,990",4
CHUWI Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11,35.56 cm (14 inch) Display,"₹24,990",4
HP Chromebook Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a- na0002TU Chromebook,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,"WPS Office,  Software",35.56 cm (14 inch) Touchscreen Display,"₹24,900",4
Lenovo Lenovo V15 Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/Windows 11 Home) 82QYA00MIN Laptop,Intel Celeron Dual Core Processor (4th Gen),8 GB DDR4 RAM,64 bit Chrome,39.62 cm (15.6 inch) Display,"₹24,490",3.6
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and...,Intel Celeron Quad Core Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 11,39.01 cm (15.36 inch) Display,"₹24,490",4
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and...,Intel Celeron Quad Core Processor (11th Gen),8 GB LPDDR4X RAM,Windows 11,39.01 cm (15.36 inch) Display,"₹24,490",3.6
HP 247 G8 Athlon Dual Core AMD Athlon P3045B - (8 GB/1 TB HDD/Windows 11 Home) 67U77PA Laptop,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,Windows 11,35.56 cm (14 inch) Display,"₹24,490",3.1
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and...,Intel Celeron Quad Core Processor (11th Gen),8 GB LPDDR4X RAM,Windows 11,39.01 cm (15.36 inch) Display,"₹24,490",4
Lenovo E41 APU Dual Core A6 A6-7350B - (4 GB/1 TB HDD/Windows 10 Home) E41-45 Laptop,AMD APU Dual Core A6 Processor,4 GB DDR4 RAM,Windows 11,35.56 cm (14 inch) Display,"₹24,099",3.4
