Title,Processors,Ram,Battery,Price,Review
"Tecno Spark 10 Pro (Starry Black, 128 GB)",Mediatek MT6769H Helio G88 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,"₹12,899",4.1
"SAMSUNG Galaxy A04e (Light Blue, 128 GB)",Mediatek Helio P35 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium Ion Battery,"₹12,899",4.1
"Tecno Spark 10 5G (Meta Black, 64 GB)",Mediatek Dimensity 6020 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50000 mAh Battery,"₹12,899",4.1
"SAMSUNG GALAXY M13 (Stardust Brown, 128 GB)",Mediatek Helio P35 Processor,6 GB RAM | 128 GB ROM,6000 mAh Battery,"₹12,894",4.2
"realme Narzo N53 (Feather Gold, 128 GB)",Snapdragon Processor,6 GB RAM | 128 GB ROM,5000 mAh Battery,"₹12,861",4.2
"REDMI Note 11 (Horizon Blue, 64 GB)",Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,4 GB RAM | 64 GB ROM,5000 mAh Battery,"₹12,840",4.2
"SAMSUNG GALAXY M13 (Midnight Blue, 128 GB)",Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,6 GB RAM | 128 GB ROM,6000 mAh Battery,"₹12,820",4.2
"SAMSUNG Galaxy M13 (Aqua Green, 128 GB)",Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,6 GB RAM | 128 GB ROM,6000 mAh Battery,"₹12,800",3.9
"SAMSUNG Galaxy A04 (Green, 128 GB)",Mediatek Dimensity 6020 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium Ion Battery,"₹12,799",4.2
"SAMSUNG GALAXY M13 5G (Aqua Green, 64 GB)",Mediatek Helio G35 Processor,4 GB RAM | 64 GB ROM,5000 mAh Battery,"₹12,799",4
"LG Optimus L70 (Black, 4 GB)",Exynos Octa Core Processor Processor,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,2100 mAh Li-Ion Battery,"₹12,791",4.2
"REDMI Note 11 (Space Black, 64 GB)",MediaTek Helio G85 Processor,6 GB RAM | 64 GB ROM,5000 mAh Battery,"₹12,790",4.2
"SAMSUNG GALAXY M13 5G (Stardust Brown, 64 GB)",Mediatek Helio G88 Processor,4 GB RAM | 64 GB ROM,5000 mAh Battery,"₹12,790",4.2
"REDMI Note 11 (Starburst White, 64 GB)",Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,6 GB RAM | 64 GB ROM,5000 mAh Battery,"₹12,785",4.3
"vivo Y21A (Diamond Glow, 64 GB)",Mediatek Dimensity 6020 Processor,4 GB RAM | 64 GB ROM,5000 mAh Battery,"₹12,770",4.4
"Redmi Note 4 (Black, 64 GB)",Mediatek Helio G35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,4100 mAh Li-Polymer Battery,"₹12,749",4.4
"Redmi Note 4 (Gold, 64 GB)",Mediatek Helio P35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,4100 mAh Li-Polymer Battery,"₹12,749",4.4
"Redmi Note 4 (Dark Grey, 64 GB)",Mediatek Helio P35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,4100 mAh Li-Polymer Battery,"₹12,749",4.1
"Tecno Spark 10 5G (Meta Blue, 64 GB)",Dimensity 6020 5G Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50000 mAh Battery,"₹12,699",4.4
"OPPO A57 (Glowing Black, 64 GB)",Dimensity 6020 5G Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium-ion Polymer Battery,"₹12,600",4.2
"SAMSUNG Galaxy M12 (Blue, 64 GB)",Qualcomm Snapdragon 720G Processor,4 GB RAM | 64 GB ROM,6000 mAh Battery,"₹12,599",4.2
"SAMSUNG Galaxy A04s (Green, 64 GB)",Qualcomm Snapdragon 680 Processor,4 GB RAM | 64 GB ROM,5000 mAh Lithium-ion Battery,"₹12,499",4.4
"realme Narzo 50A (Oxygen Blue, 128 GB)",MediaTek Helio G85 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,"₹12,499",4.3
"Infinix Note 11 (Graphite Black, 64 GB)",Mediatek Helio P10 64-bit Octa Core 1.8GHz Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-ion Polymer Battery,"₹12,499",4.4
"Redmi Note 4 (Black, 64 GB)",Helio G85 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,4100 mAh Li-Polymer Battery,"₹12,749",4.1
